R7D,43,62,77
R6D,67,43,42
R5D,27,42,63
R3D,31,27,45
R4D,45,67,100
R7P,77,62,43
R4P,100,67,45
R3P,45,27,31
R5P,63,42,27
R6P,42,43,67
R1,93,56,62
R2D,74,31,31,56
R2P,62,11,29,29,74
F15,44,20,22,20,44,50
F14D,6,17,5,30,47,44
F14P,28,5,15,6,44,47
F13P,58,28,5,30,4,13
F13D,5,30,58,13,4,30
F12P,31,37,22
F11,36,22,50,22
F12D,22,37,31
F16P,40,58,68,28
F16D,58,8,37,21,68
F17D,58,59,31
F20D,0,37,8,58,34
F20P,40,23,9,59
F17P,31,59,58
F18D,18,46,34,0
F19D,49,31,46
F18P,9,49,28,23
F19P,46,31,49
1D,60,74,54
2D,44,53,60
3D,81,62,53
5D,89,54,74
6D,68,39,89
7D,39,46,75,44
8D,86,26,62,74
10D,32,25,33,21,26
12D,50,68,40
13D,69,46,50
9D,79,33,88
15D,70,29,58,30
16D,71,69,50
17D,55,50,85
18D,85,95,78
14D,95,79,60
20D,103,29,93
21D,102,31,38,30,54
23D,72,78,60
22D,75,31,60
24D,60,75,68
25D,68,22,63
26D,57,41,63,26
27D,58,74,39
28D,74,31,72
29D,72,39,87
30D,87,93,43
31D,93,75,70
32D,78,60,55
35D,55,48,38
36D,48,41,21
33D,23,42,41
34D,39,23,95,20,42
37D,20,95,21,97,30
43D,113,98,37
38D,36,16,48,16,31
39D,74,78,41
40D,63,50,41
41D,38,64,50
42D,113,77,64
4D,56,31,74
11D,31,37,40
1P,54,74,60
2P,60,53,44
3P,53,62,81
4P,56,74,31
5P,74,54,89
6P,89,39,68
7P,46,39,44,75
8P,72,62,27,83
12P,40,68,50
13P,50,46,69
9P,88,33,79
15P,28,70,30,58
16P,50,69,71
17P,85,50,55
18P,78,95,85
14P,60,79,95
20P,93,29,103
21P,66,30,94,51
23P,60,78,72
27P,39,74,58
28P,72,31,74
29P,83,33,72
30P,43,91,83
31P,70,73,91
22P,60,35,73
24P,60,44,50
32P,55,60,78
39P,41,78,74
40P,41,50,63
35P,38,48,55
41P,50,64,38
36P,21,41,48
33P,41,42,23
34P,23,39,41,18,95
37P,31,89,20,88,21
43P,37,98,113
42P,64,77,113
10P,33,25,33,27,20
11P,37,31,40
38P,48,15,36,31,16
26P,67,58,42
25BP,76,47,77
19BP,84,43,112
19AP,116,112,47
25AP,77,45,44
F3D,74,57,74
F2D,74,47,36
F1D,58,56,36
F4D,30,31,57,30
F10D,34,45,30
F5D,31,60,81
F6D,21,81,81,0
F7D,21,19,0,19,16
F10P,30,34,34,50
F4P,31,30,30,58
F3P,75,58,74
F2P,37,47,75
F1P,37,58,56
